BEVOEGD GEZAG NUMMER;INSTELLING;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO
42571;00LJ;00LJ02;Chr Coll Schaersvoorde;WINTERSWIJK;294;WINTERSWIJK;Gelderland;81;0
42571;00LJ;00LJ05;Chr Coll Schaersvoorde;AALTEN;197;AALTEN;Gelderland;382;0
42571;02NZ;02NZ00;Houtkamp College;DOETINCHEM;222;DOETINCHEM;Gelderland;623;0
42571;02NZ;02NZ01;Metzo College;DOETINCHEM;222;DOETINCHEM;Gelderland;695;5
42571;02NZ;02NZ09;Ludger College/Ulenhofcollege;DOETINCHEM;222;DOETINCHEM;Gelderland;590;22
42571;02NZ;02NZ10;Metzo Zaagmolenpad;DOETINCHEM;222;DOETINCHEM;Gelderland;284;0
42571;02NZ;02NZ11;Houtkamp loc. Kruisbergsewerg;DOETINCHEM;222;DOETINCHEM;Gelderland;562;11
42571;02NZ;02NZ14;Houtkamp College;DOETINCHEM;222;DOETINCHEM;Gelderland;240;0
42571;13EB;13EB00;Praktijkonderwijs Zutphen;ZUTPHEN;301;ZUTPHEN;Gelderland;207;0
42571;14UM;14UM00;Almende College;SILVOLDE;1509;OUDE IJSSELSTREEK;Gelderland;1064;8
42571;14UM;14UM01;Almende College;SILVOLDE;1509;OUDE IJSSELSTREEK;Gelderland;248;<5
42571;14UM;14UM02;Almende College;SILVOLDE;1509;OUDE IJSSELSTREEK;Gelderland;552;0
42571;17AA;17AA00;Gerrit Komrij College;WINTERSWIJK;294;WINTERSWIJK;Gelderland;1243;7
42571;17AA;17AA03;Gerrit Komrij College;WINTERSWIJK;294;WINTERSWIJK;Gelderland;132;0
42571;20AD;20AD00;Panora Lyceum;DOETINCHEM;222;DOETINCHEM;Gelderland;748;0
42571;20AD;20AD02;Rietveld Lyceum;DOETINCHEM;222;DOETINCHEM;Gelderland;447;12
42571;20AD;20AD03;Panora Lyceum;DOETINCHEM;222;DOETINCHEM;Gelderland;413;0
42571;20DH;20DH00;Eligant Lyceum;ZUTPHEN;301;ZUTPHEN;Gelderland;1435;12
42571;20DH;20DH06;Kompaan College;ZUTPHEN;301;ZUTPHEN;Gelderland;378;0
42571;20DH;20DH08;Kompaan College;ZUTPHEN;301;ZUTPHEN;Gelderland;71;0
42571;20DH;20DH10;Baudartius College;ZUTPHEN;301;ZUTPHEN;Gelderland;164;<5
42571;20DH;20DH11;ISK Zutphen;ZUTPHEN;301;ZUTPHEN;Gelderland;147;0
42571;20DH;20DH12;Kompaan Nieuwstad;VORDEN;1876;BRONCKHORST;Gelderland;194;<5
42571;20DH;20DH13;Kompaan Het Hoge;VORDEN;1876;BRONCKHORST;Gelderland;204;0
42571;26KH;26KH00;PRAKTICON;DOETINCHEM;222;DOETINCHEM;Gelderland;322;0
42571;26KR;26KR00;MaxX;NEEDE;1859;BERKELLAND;Gelderland;135;0
42571;26MD;26MD00;Pronova;WINTERSWIJK;294;WINTERSWIJK;Gelderland;201;0
42575;01FU;01FU00;Nuborgh College;ELBURG;230;ELBURG;Gelderland;811;0
42575;01FU;01FU01;Nuborgh College;ELBURG;230;ELBURG;Gelderland;875;8
42575;01FU;01FU04;Nuborgh College loc. Veluvine;NUNSPEET;302;NUNSPEET;Gelderland;479;0
42590;30JM;30JM00;VO Eemsdelta voor PRO;APPINGEDAM;1979;EEMSDELTA;Groningen;120;0
42590;30PP;30PP00;VO Eemsdelta;APPINGEDAM;1979;EEMSDELTA;Groningen;484;<5
42590;30PP;30PP01;VO Eemsdelta;SIDDEBUREN;1952;MIDDEN-GRONINGEN;Groningen;176;<5
42590;30PP;30PP02;VO Eemsdelta;DELFZIJL;1979;EEMSDELTA;Groningen;118;0
42590;30PP;30PP04;VO Eemsdelta;APPINGEDAM;1979;EEMSDELTA;Groningen;698;16
42595;03AQ;03AQ00;Open Sgm Bylmer;AMSTERDAM;363;AMSTERDAM;Noord-Holland;1279;5
42606;05NE;05NE00;PRO Dokkum;DOKKUM;1970;NOARDEAST-FRYSLAN;Friesland;198;0
42608;05TA;05TA00;CSG Willem De Zwijger;SCHOONHOVEN;1931;KRIMPENERWAARD;Zuid-Holland;921;<5
42618;15OM;15OM00;Het Schoonhovens College;SCHOONHOVEN;1931;KRIMPENERWAARD;Zuid-Holland;668;<5
42618;15OM;15OM01;Het Schoonhovens College;SCHOONHOVEN;1931;KRIMPENERWAARD;Zuid-Holland;470;0
42620;01FP;01FP00;Het Baken Almere;ALMERE;34;ALMERE;Flevoland;498;0
42620;01FP;01FP01;Het Baken Park Lyceum;ALMERE;34;ALMERE;Flevoland;1575;9
42620;01FP;01FP04;Het Baken Trinitas Gymnasium;ALMERE;34;ALMERE;Flevoland;629;0
42620;01FP;01FP05;Het Baken Poort Lyceum;ALMERE;34;ALMERE;Flevoland;632;0
42620;01FP;01FP06;International School Almere;ALMERE;34;ALMERE;Flevoland;294;0
42621;02VQ;02VQ00;ZAAM Zaanstad;ZAANDAM;479;ZAANSTAD;Noord-Holland;941;18
42621;02VQ;02VQ01;Pascal Zuid;ZAANDAM;479;ZAANSTAD;Noord-Holland;660;0
