PC4 Code,Gemeente Code,Gemeente Name,Total Employment 2018-19,Total Across Categories,"Advisering, onderzoek en overige specialistische zakelijke dienstverlening",Bouwnijverheid,"Cultuur, sport en recreatie",Detailhandel,Extraterritoriale organisaties en lichamen,Financiële instellingen,Gezondheids- en welzijnszorg,Groothandel,Industrie,Informatie en communicatie,"Landbouw, bosbouw en visserij","Logies-, maaltijd- en drankverstrekking",Onderwijs,"Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen",Overige dienstverlening,"Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht",Verhuur van en handel in onroerend goed,Verhuur van roerende goederen en overige zakelijke dienstverlening,Vervoer en opslag,Winning en distributie van water: afval- en afvalwaterbeheer en sanering,Winning van delfstoffen 
1054,363,Amsterdam,11934,11940,2210,190,930,1020,30,120,2790,210,150,820,0,1630,480,0,350,0,120,800,90,0,0
1055,363,Amsterdam,7099,7080,1240,320,680,940,0,60,680,160,110,540,0,410,560,460,210,0,150,390,170,0,0
1056,363,Amsterdam,5889,5870,1030,150,710,560,0,20,630,80,100,360,0,390,400,870,220,0,50,190,110,0,0
1057,363,Amsterdam,5685,5690,1060,160,640,660,0,20,650,80,170,410,10,670,580,0,210,0,50,180,140,0,0
1058,363,Amsterdam,6016,6020,1300,80,640,530,0,110,1100,140,80,420,0,480,400,210,240,0,50,190,50,0,0
1059,363,Amsterdam,7326,7310,2000,310,400,560,0,620,480,300,340,800,0,200,200,100,220,0,410,220,60,90,0
1060,363,Amsterdam,2754,2730,300,140,80,320,0,50,220,280,50,140,0,160,260,60,60,0,20,260,330,0,0
1061,363,Amsterdam,7171,7170,430,100,280,160,0,20,3820,50,50,160,0,180,1000,0,80,0,10,140,690,0,0
1062,363,Amsterdam,10495,10470,1760,220,280,710,0,600,3460,760,140,500,0,180,550,180,370,0,90,520,150,0,0
1063,363,Amsterdam,3433,3410,220,300,150,870,0,20,340,50,50,90,0,310,570,0,90,0,0,150,200,0,0
1064,363,Amsterdam,3522,3520,330,280,190,290,0,10,560,60,80,120,0,180,600,230,100,0,10,180,300,0,0
1065,363,Amsterdam,3531,3520,250,220,120,430,0,20,1150,60,40,70,0,210,550,0,100,0,10,140,150,0,0
1066,363,Amsterdam,19241,19250,3960,180,320,640,0,530,4820,280,170,4300,0,450,540,660,330,0,170,1480,410,10,0
1067,363,Amsterdam,5025,5020,290,520,210,610,0,20,920,280,70,90,40,150,610,0,220,0,20,530,440,0,0
1068,363,Amsterdam,5377,5390,280,230,200,1110,0,100,760,90,80,150,0,310,530,770,160,0,120,290,210,0,0
1069,363,Amsterdam,6309,6310,490,560,170,950,0,90,1570,140,160,170,0,330,520,0,170,0,40,450,500,0,0
1071,363,Amsterdam,14031,14010,2490,70,2260,1900,40,580,1320,270,140,540,0,1910,860,60,490,0,430,470,180,0,0
1072,363,Amsterdam,8628,8640,1040,100,640,1400,0,40,550,150,120,910,0,2300,330,160,450,0,110,200,140,0,0
1073,363,Amsterdam,5385,5380,1040,60,490,880,0,50,560,90,100,400,0,660,530,60,180,0,50,180,50,0,0
1074,363,Amsterdam,3187,3170,700,50,330,270,0,60,280,70,70,250,0,500,260,0,120,0,50,120,40,0,0
1075,363,Amsterdam,7665,7650,1980,80,330,560,10,230,1090,180,80,330,0,650,350,0,190,0,390,280,920,0,0
1076,363,Amsterdam,10112,10140,2280,450,380,650,0,240,1120,440,130,580,10,510,1210,1400,190,0,240,260,50,0,0
1077,363,Amsterdam,17455,17430,4440,90,860,670,0,2910,680,630,560,1780,0,1030,1250,30,190,0,460,1500,120,110,120
1078,363,Amsterdam,5620,5620,940,100,430,870,0,30,590,110,110,280,0,660,440,10,280,0,110,600,60,0,0
1079,363,Amsterdam,8140,8130,1980,60,470,620,0,130,930,70,60,530,0,510,930,360,210,0,140,370,760,0,0
1081,363,Amsterdam,25081,25090,6330,120,170,460,20,820,8660,430,460,260,0,430,6270,30,120,0,90,280,80,60,0
1082,363,Amsterdam,18522,18520,5420,110,200,1350,0,6200,620,620,50,1090,0,540,330,260,230,100,970,360,30,0,40
1083,363,Amsterdam,9342,9340,4030,40,160,140,0,750,1140,240,40,820,0,520,360,140,400,10,90,420,40,0,0
1086,363,Amsterdam,2174,2180,790,170,100,70,0,10,260,170,30,270,0,30,140,0,30,0,20,60,30,0,0
1087,363,Amsterdam,5869,5860,1550,100,350,640,0,70,920,110,60,510,0,300,650,0,160,40,50,200,150,0,0
1091,363,Amsterdam,10383,10400,1120,110,730,560,0,30,4400,110,80,420,0,850,1360,150,130,10,30,200,110,0,0
